Customer_ID,Onboarding_Date,KYC_Documents_Submitted,PAN_Number,Aadhaar_Number
X000001,01-04-2024,PAN + Aadhaar,HVPGF7923K,2.22865E+11
X000002,01-04-2024,Passport,,
X000003,01-04-2024,PAN only,CMZRF3197T,
X000004,01-04-2024,Aadhaar only,,9.23077E+11
X000005,01-04-2024,PAN + Aadhaar,JPNNB1832A,5.97994E+11
X000006,01-04-2024,PAN + Aadhaar,GCGBI9217P,2.10541E+11
X000007,01-04-2024,PAN + Aadhaar,TARTK4182T,7.10479E+11
X000008,01-04-2024,Voter ID,,
X000009,01-04-2024,Aadhaar only,,4.95109E+11
X000010,01-04-2024,PAN only,GFQGP1361S,
X000011,01-04-2024,PAN + Aadhaar,KWPBP1275W,2.43007E+11
X000012,01-04-2024,Passport,,
X000013,01-04-2024,PAN only,UTJTF3946O,
X000014,01-04-2024,PAN + Aadhaar,JIMRX1391S,5.89315E+11
X000015,01-04-2024,PAN + Aadhaar,VRYQR1348V,7.22926E+11
X000016,01-04-2024,PAN + Aadhaar,CHOBJ4313I,5.00503E+11
X000017,01-04-2024,PAN + Aadhaar,MLCRN1325M,9.69518E+11
X000018,01-04-2024,Aadhaar only,,2.35802E+11
X000019,01-04-2024,PAN + Aadhaar,VKGNR8493C,3.5545E+11
X000020,01-04-2024,PAN + Aadhaar,SDKBW1457V,2.80718E+11
X000021,01-04-2024,Aadhaar only,,3625895527
X000022,01-04-2024,PAN + Aadhaar,GOPHJ4539H,6.2541E+11
X000023,01-04-2024,PAN + Aadhaar,WCLXL8430A,2.15842E+11
X000024,01-04-2024,PAN + Aadhaar,CPSON4324J,9.37421E+11
X000025,01-04-2024,PAN + Aadhaar,EYAFI5565M,6.24876E+11
X000026,01-04-2024,PAN only,KEFGB7305M,
X000027,01-04-2024,PAN + Aadhaar,LTSDF9126V,18074242704
X000028,01-04-2024,Aadhaar only,,8.37796E+11
X000029,01-04-2024,Aadhaar only,,70088708425
X000030,01-04-2024,PAN + Aadhaar,YMMZS7812L,2.81746E+11
X000031,01-04-2024,Aadhaar only,,25510796249
X000032,01-04-2024,PAN + Aadhaar,OGFGP6638K,4.75745E+11
X000033,01-04-2024,PAN + Aadhaar,NJKIT6260Y,2.03091E+11
X000034,01-04-2024,Voter ID,,
X000035,01-04-2024,Passport,,
